label,feature
PE,システムは60秒ごとにディスプレイの表示を更新する。
LF,アプリケーションは、国土安全保障省によって定められた配色設計の方針に準拠して、配色を決定すること。
US,投影する場合、データは読み取り可能にすること。 10x10の投影スクリーンにおいて、視聴者の90％が30の視聴距離からイベントまたはアクティビティのデータを読み取ることができること。
A,本製品は、通常の営業時間内に利用可能であること。ユーザがクライアントPCにアクセスできる限り、運用開始から6か月の99％利用可能とすること。
US,投影する場合、イベントまたはアクティビティのデータは理解できるものでなければならない。10x10の投影スクリーンでは、視聴者の90％が、100の視聴距離から、現在の時間にイベントまたはアクティビティが発生していることを判断される必要がある。
SE,本製品は、許可されたユーザのみがアクセスできることを保証する。本製品は、すべてのアクセスの試みに対して、認可されたユーザと認可されていないユーザを区別しなければならない。
US,本製品は、特別な説明を必要とせず直観的に利用できる必要がある。新規ユーザの90%が、製品を使用してから90分以内にイベントまたはアクティビティの表示を開始でき必要がある。
PE,本製品は、最新のデータをディスプレイに表示するために高速に応答しなければならない。
LF,本システムのルック・アンド・フィールは、スマートデバイスのユーザーインターフェース標準の規格に準拠しなければならない。
LF,ユーザインターフェースには、ナビゲーション用の標準的なメニューボタンを備えなければならない。
LF,本システムは、プロフェッショナルな外観を備えなければならない。
LF,本製品は、一貫した配色設計の方針やフォントを備えている必要がある。
US,本システムは、トレーニングを受けていない不動産業者が使用できなければならない。
US,本システムは、直感的でわかりやすいシステムであること。
US,本システムは、不動産業者が習得しやすい製品であること。
US,本製品には、不動産業者のコミュニティが自然に理解できるような記号や言葉を使用すること。
PE,本製品は、許容範囲内の時間で検索結果を出すこと。
PE,検索結果は、ユーザが検索条件を入力してから30秒以内に返されること。
PE,本製品は、許容できる時間内にCMAレポートを生成すること。
PE,CMAレポートは、ユーザがCMAレポートの基準を入力してから60秒以内に返却されること。
PE,本製品は、連絡先や予定を許容範囲内の時間で同期すること。
PE,本製品は、1時間ごとにオフィスのシステムと同期すること。
A,本製品は、1年365日、24時間使用可能であること。
